,food_class1
929,꽈리고추볶음
930,낙지삼겹살볶음
931,닭볶음
932,두부볶음
933,매운어묵볶음
934,모듬버섯볶음
935,버섯잡채
936,베이컨채소볶음
937,브로콜리버섯볶음
938,소간채소볶음
939,소고기채소볶음
940,소곱창볶음
941,소시지케첩볶음
942,양송이버섯볶음
943,어묵감자볶음
944,어묵잡채
945,우엉볶음
946,제육볶음
947,콩나물잡채
948,피망볶음
949,호박고지볶음
950,갈치조림
951,달걀조림
952,닭도리탕
953,건갈치조림
954,건꼴뚜기조림
955,게조림
956,고구마조림
957,곤약조림
958,꽈리고추조림
959,다시마조림
960,단호박조림
961,도루묵조림
962,돼지고기장조림
963,마늘쫑조림
964,메추리알돼지고기장조림
965,메추리알어묵조림
966,메추리알장조림
967,모듬콩조림
968,새우조림
969,소고기장조림
970,완자조림
971,적어조림
972,전어조림
973,콩조림
974,깐쇼새우
975,가자미튀김
976,가지탕수
977,갈치튀김
978,게맛살튀김
979,고구마깻잎튀김
980,고등어튀김
981,김부각
982,깐풍기
983,깻잎튀김
984,꽁치튀김
985,느타리버섯튀김
986,달걀튀김
987,닭강정
988,닭고기탕수
989,대구튀김
990,도라지튀김
991,도미튀김
992,동태튀김
993,돼지갈비강정
994,돼지고기강정
995,돼지고기튀김
996,두부탕수
997,두부튀김
998,등심돈가스
999,비프까스
1000,새우탕수
1001,소고기튀김
1002,소시지튀김
1003,식빵튀김
1004,쑥튀김
1005,양념돼지고기튀김
1006,어묵튀김
1007,연근튀김
1008,오징어탕수
1009,우럭튀김
1010,임연수튀김
1011,잔멸치튀김
1012,조기튀김
1013,채소튀김
1014,탕수어
1015,시래기나물
1016,청경채나물
1017,톳나물
1018,고사리나물
1019,고춧잎나물
1020,근대나물
1021,냉이초나물
1022,도라지나물
1023,머위나물
1024,모듬배추나물
1025,무나물
1026,무청나물
1027,민들레무침
1028,방풍나물
1029,부추나물
1030,비름나물
1031,쑥갓나물
1032,씀바귀나물
1033,애호박나물
1034,양배추초나물
1035,얼갈이나물
1036,오이나물
1037,토란대나물
1038,간재미회무침
1039,개고기무침
1040,곤약무침
1041,과일샐러드
1042,도토리묵무침
1043,돌나물
1044,마늘장아찌무침
1045,얼갈이겉절이
1046,참나물겉절이
1047,청포묵무침
1048,가오리회무침
1049,감자샐러드
1050,겨자채
1051,단호박샐러드
1052,달걀샐러드
1053,닭가슴살샐러드
1054,닭고기냉채
1055,닭튀김샐러드
1056,두부냉채
1057,마늘쫑장아찌무침
1058,마카로니샐러드
1059,메밀묵무침
1060,멕시컨샐러드
1061,문어무침
1062,미역오이무침
1063,뱅어포무침
1064,부추겉절이
1065,부추채소무침
1066,부추초무침
1067,브로콜리두부무침
1068,브로콜리무침
1069,삼색냉채
1070,새싹샐러드
1071,새우무침
1072,소라무침
1073,시금치겉절이
1074,쑥갓오이무침
1075,양념도토리묵
1076,양배추겉절이
1077,양배추샐러드
1078,양배추부추무침
1079,양상추샐러드
1080,어묵오이무침
1081,오이도라지생채
1082,오이고추된장무침
1083,오이부추무침
1084,옥수수샐러드
1085,유채무침
1086,쥐포무침
1087,짜사이무침
1088,참나물무침
1089,참치샐러드
1090,천사채무침
1091,치커리무침
1092,콩나물느타리무침
1093,콩나물냉채
1094,해파리냉채
1095,햄샐러드
1096,홍어회무침
1097,가지김치
1098,섞박지
1099,양념채김치
1100,오이물김치
1101,양념바지락젓
1102,양념새우젓
1103,양념오징어젓
1104,무말랭이장아찌
1105,무숙장아찌
1106,짜장소스
1107,고춧가루양념장
1108,기름장
1109,쌈장
1110,초간장
1111,팥빙수
1112,두유카페라떼
1113,딸기넥타
1114,딸기바나나스무디
1115,미숫가루(선식)음료
1116,수박화채
1117,아이스카페라떼
1118,아이스카페모카
1119,율무차
1120,카페라떼
1121,카페모카
1122,커피(타먹는커피)
1123,감자범벅
1124,파강회
1125,모듬회
1126,고구마밥
1127,밤밥
1128,소고기덮밥
1129,순현미밥
1130,채소밥
1131,김치고기만두
1132,감자스프
1133,들깨죽
1134,애호박죽
1135,찹쌀죽
1136,흰죽
1137,들깨국
1138,소고기육개장
1139,굴미역국
1140,달래된장국
1141,대합미역국
1142,바지락국
1143,소고기무국
1144,애호박감자된장국
1145,양배추된장국
1146,열무된장국
1147,유부된장국
1148,청포묵국
1149,콩나물된장국
1150,호박잎된장국
1151,홍합무국
1152,굴두부찌개
1153,두부명란찌개
1154,두부애호박찌개
1155,명란찌개
1156,소고기떡찜
1157,소사태찜
1158,제육(돼지고기수육)
1159,삼치양념구이
1160,삼치카레구이
1161,햄전
1162,연근전
1163,참치완자전
1164,해물채소전
1165,고추장볶음
1166,파래볶음
1167,돼지고기피망잡채
1168,부추잡채
1169,세발낙지볶음
1170,양념두부
1171,폭찹
1172,꽈리고추오징어조림
1173,닭다리조림
1174,삶은땅콩조림
1175,임연수조림
1176,동태까스
1177,뱅어포튀김
1178,연어튀김
1179,장어튀김
1180,참치강정
1181,숙주미나리나물
1182,양배추나물
1183,갑오징어무침
1184,치커리겉절이
1185,닭고기샐러드
1186,미나리초무침
1187,브로콜리채소무침
1188,쑥갓무침
1189,양배추사과샐러드
1190,양배추오이샐러드
1191,열무겉절이
1192,오징어미역초무침
1193,양념초장
1194,돼지고기덮밥
1195,핫케이크
1196,유부국
1197,김치청국장찌개
1198,동태매운탕
1199,돼지갈비전골
1200,버섯매운탕
1201,돼지고기찜
1202,북어구이
1203,달걀후라이
1204,돼지등심장조림
1205,무어묵조림
1206,소시지조림
1207,오징어포조림
1208,삼치튀김
1209,배추숙주나물
1210,호박나물
1211,오이모듬무침
1212,양배추김치
1213,양파장아찌
1214,감자밥
1215,나폴리탄스파게티
1216,가지냉국
1217,감자호박된장국
1218,멸치미역국
1219,버섯국
1220,삼색오이냉국
1221,소고기두부국
1222,애호박된장국
1223,오이미역냉국
1224,망둥어찜
1225,오리간장불고기
1226,껍질콩볶음
1227,유부조림
1228,감자연근튀김
1229,무생채(무만)
1230,고추장아찌무침
1231,무파래무침
1232,북어채고추장무침
1233,깻잎장아찌
